D,N,num_classes,x,y
110,-149,2,11876283286531,1132359181299
110,-149,2,498520968902931,47532109380341
110,-149,2,20926004410636571,1995216234793023
106,93,0,0,0
30,-14,2,4,1
30,-14,2,104,19
30,-14,2,2284,417
30,-14,2,50144,9155
30,-14,2,1100884,200993
30,-14,2,24169304,4412691
30,-14,2,530623804,96878209
30,-14,2,11649554384,2126907907
30,-14,2,255759572644,46695095745
30,-14,2,5615061043784,1025165198483
30,-14,2,-4,1
30,-14,2,16,3
30,-14,2,356,65
30,-14,2,7816,1427
30,-14,2,171596,31329
30,-14,2,3767296,687811
30,-14,2,82708916,15100513
30,-14,2,1815828856,331523475
30,-14,2,39865525916,7278415937
30,-14,2,875225741296,159793627139
161,62,0,0,0
185,200,0,0,0
140,-164,0,0,0
180,-195,0,0,0
72,15,0,0,0
106,-138,0,0,0
183,188,0,0,0
12,-89,0,0,0
116,-83,2,31,3
116,-83,2,620511,57613
116,-83,2,12163256591,1129330023
116,-83,2,238424155076271,22137127053233
116,-83,2,4673590275641807551,433931963368143243
116,-83,2,91611716344706556538431,8505934323805216796053
116,-83,2,1795772859115347645624516911,166733324181297896268087663
116,-83,2,35200739492767328204825223950991,3268306612095867038841837574073
116,-83,2,690004893741452308355636394262808671,64065346043569861514079803858891283
116,-83,2,13525475891919208655619856395514351617951,1255808909877749813303125276400149355293
116,-83,2,12849,1193
116,-83,2,251866129,23385183
116,-83,2,4937079847809,458396355973
116,-83,2,96776638924885889,8985485346397563
116,-83,2,1897015671268533348369,176133483301688673953
116,-83,2,37185301091429151769843249,3452568530694216040429143
116,-83,2,728906270097178561723934018529,67677248162534539522803387133
116,-83,2,14288020669259593075483402861362209,1326609415029433513031775954151923
116,-83,2,280073780429920273368447101164488002289,26004197685729707559914332730482607513
116,-83,2,5490006229699276529308707001542890959506769,509734281709064312560007237151144118317903
148,-77,0,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
73,-44,0,0,0
47,-176,2,24,4
47,-176,2,2468,360
47,-176,2,236904,34556
47,-176,2,22740316,3317016
47,-176,2,2182833432,318398980
47,-176,2,209529269156,30562985064
47,-176,2,20112627005544,2933728167164
47,-176,2,1930602663263068,281607341062680
47,-176,2,185317743046248984,27031371013850116
47,-176,2,17788572729776639396,2594730009988548456
47,-176,2,164,24
47,-176,2,15768,2300
47,-176,2,1513564,220776
47,-176,2,145286376,21192196
47,-176,2,13945978532,2034230040
47,-176,2,1338668652696,195264891644
47,-176,2,128498244680284,18743395367784
47,-176,2,12334492820654568,1799170690415620
47,-176,2,1183982812538158244,172701642884531736
47,-176,2,113650015510842536856,16577558546224631036
12,121,3,13,2
12,121,3,139,40
12,121,3,1933,558
12,121,3,26923,7772
12,121,3,374989,108250
12,121,3,5222923,1507728
12,121,3,72745933,20999942
12,121,3,1013220139,292491460
12,121,3,14112336013,4073880498
12,121,3,196559484043,56741835512
12,121,3,77,22
12,121,3,1067,308
12,121,3,14861,4290
12,121,3,206987,59752
12,121,3,2882957,832238
12,121,3,40154411,11591580
12,121,3,559278797,161449882
12,121,3,7789748747,2248706768
12,121,3,108497203661,31320444870
12,121,3,1511171102507,436237521412
12,121,3,-13,2
12,121,3,-43,-12
12,121,3,-589,-170
12,121,3,-8203,-2368
12,121,3,-114253,-32982
12,121,3,-1591339,-459380
12,121,3,-22164493,-6398338
12,121,3,-308711563,-89117352
12,121,3,-4299797389,-1241244590
12,121,3,-59888451883,-17288306908
110,81,1,189,18
110,81,1,7929,756
110,81,1,332829,31734
110,81,1,13970889,1332072
110,81,1,586444509,55915290
110,81,1,24616698489,2347110108
110,81,1,1033314892029,98522709246
110,81,1,43374608766729,4135606678224
110,81,1,1820700253310589,173596957776162
110,81,1,76426036030278009,7286936619920580
90,98,0,0,0
45,-19,0,0,0
131,-51,0,0,0
92,-144,0,0,0
114,82,2,14,1
114,82,2,25294,2369
114,82,2,51852686,4856449
114,82,2,106297981006,9955718081
114,82,2,217910809209614,20409217209601
114,82,2,446717052581727694,41838885323963969
114,82,2,915769739881732563086,85769694504908926849
114,82,2,1877327520040499172598606,175827831896177976076481
114,82,2,3848520500313283422094579214,360446969617470346047859201
114,82,2,7889465148314710974794714790094,738916111887982313220135285569
114,82,2,-14,1
114,82,2,-3406,-319
114,82,2,-6982286,-653951
114,82,2,-14313682894,-1340599231
114,82,2,-29343042950414,-2748227769599
114,82,2,-60153223734665806,-5633865587078719
114,82,2,-123314079313021951886,-11549421705283604351
114,82,2,-252793802438471266700494,-23676308861965801840831
114,82,2,-518227171684786783714060814,-48536421617608188490099199
114,82,2,-1062365449160010468142557968206,-99499640639787924438901517119
21,106,0,0,0
153,-188,0,0,0
164,43,0,0,0
188,161,0,0,0
73,-32,0,0,0
113,58,0,0,0
153,55,0,0,0
142,104,0,0,0
147,-54,0,0,0
21,179,0,0,0
72,15,0,0,0
109,173,2,4336559661297,415367083102
109,173,2,1370965799539354299363006753,131314707893802543568529098
109,173,2,433418970406701747673867976829078060617697,41514008236902728297877987591190657663702
109,173,2,137021655807551028592640384407407913466299540642297090353,13124294357699780666826680511314781951419922284852338498
109,173,2,43318210420336217949840491246446366497092401301414387447913321792494097,4149132056933881065090343623965080997529755077982940444031461640964302
109,173,2,13694677260768559451559410822078254682240044839620817943721141149924761221066898253953,1311712184798452249224017117636912390923930012083461596382061451415726709967235427898
109,173,2,4329453674488979843934238111059859181568528327997183630681619822765608286100525157366259575259290497,414686453007284354683176694886431536450760390141721522436326002919929335710921747718538444532984902
109,173,2,1368719303319615966094484360364911052320677767052045384319830127972915247340035965327523018347529614148160062497553,131099532580911010849105840187065955649963287196675363209431719284286616832290638615463846213156328238474901797298
109,173,2,432708760072564534805072638368883347967868624661895027687342411167916925384663096323953238270121524959906452679431444517165006897,41445982424295496369194686894201447365991814898046474637348499835328537592675213031953056379114136057151460877532730094749725502
109,173,2,136797128958013733240494772073986922402041010014136232364177293551047897712463011592807201536794176737909453919572987745580723148927617485821153,13102788585877309066671353771115339565484673038559022732800127233198220826434985599324768760511856929136036044927373372876364092529072835446698
109,173,2,3153,302
109,173,2,996789320985624897,95475101246777498
109,173,2,315126315593829159711694912079553,30183626824066557652188437249702
109,173,2,99624456932934704726184392471403897546234508497,9542292350124742976700858624734492376999918098
109,173,2,31495409707308223601809515578038460259762500505392763603235953,3016713128146922688095639450202143422500994228387203527219102
109,173,2,9957001153832881673958190321233425955851757591785374852030581248378402312097,953707742711846723628351588548778124760640065316250273602748124970508338698
109,173,2,3147819726708440518065400176133833459485589405589587212397429245523238381520757454377472353,301506447537900557589802419112102087403213009874064384010610855874532693397866806253908502
109,173,2,995155958984747743401316360442995196956078213838522343578778490353416708464191548704298340241594785035697,95318653541005342894602196336762786703724352528480469317541329423344601239163890454667358044741188039298
109,173,2,314609942335678247915860753117466114679627581067278389459903926866031037758636438552238710642958208709731240324338788753,30134167236102334604195659754667207946509195896367984285447906704868672559218450157317213474034896944556055576801317902
109,173,2,99461209997111417813569594232230768978054292068757910371054176086422404212221963347261362368074826508760111990284133676063943878679297,9526656129513407515980837507427293704823034403197561168693705777141680803641461720290108156366418816751373267164815863991609255019898
7,171,0,0,0
137,62,0,0,0
87,-163,0,0,0
113,-100,0,0,0
170,-123,0,0,0
134,152,0,0,0
39,-176,0,0,0
98,-170,0,0,0
55,-12,0,0,0
53,-137,0,0,0
12,-115,0,0,0
186,89,0,0,0
23,155,0,0,0
80,-80,0,0,0
199,88,0,0,0
171,161,0,0,0
76,178,0,0,0
5,-108,0,0,0
17,10,0,0,0
146,-13,0,0,0
30,177,0,0,0
73,99,0,0,0
103,3,0,0,0
78,87,0,0,0
166,-191,0,0,0
126,-81,0,0,0
90,-82,0,0,0
75,-64,0,0,0
182,88,0,0,0
106,33,0,0,0
91,-171,0,0,0
87,131,0,0,0
122,-23,0,0,0
107,-33,0,0,0
177,-29,0,0,0
114,1,1,1025,96
